Mechanism,Implementation choice,Main parameter,What it controls,Main limitation,Where to inspect in supplement
Population size and horizon,Full-core uses 3000 players over 90 simulated days; robustness profiles vary scale.,"population_size, n_days",Amount of repeated exposure and recovery time visible in synthetic world.,Does not represent platform-scale concurrency.,config/experiment_config.yaml; results/tables/main_results_full_profile.csv
Player arrival / activity rate,Players have heterogeneous activity rates used to sample queue participation.,"activity_rate, activity_skew",Who appears in the queue and how often repeated exposure can accumulate.,Not a calibrated discrete-event server queue.,config/player_population_config.yaml; src/matchmaking_sim/population.py
Latent skill distribution,Latent global skill is sampled from a configured synthetic distribution with role/context offsets.,"skill_mean, skill_sd",True win-probability generation and rating-error targets.,No empirical player-skill calibration.,config/player_population_config.yaml
Role preference and scarcity,Players have preferred and secondary roles; stress scenarios skew role availability.,"role_distribution, role_scarcity","Role coverage, role mismatch, and team-formation pressure.",Simplifies role flexibility and autofill behavior.,config/matchmaking_config.yaml
Smurf-like mismatch ratio,A configured fraction receives high latent skill but lower initial hidden MMR.,smurf_ratio,Hidden-skill mismatch and victimization exposure.,Synthetic flag is observable only because this is a stress test.,config/player_population_config.yaml
Smurf-like latent-hidden gap,Smurf-like players are initialized with a latent-hidden offset.,smurf_skill_gap,Severity and duration of mismatch before ratings adapt.,Not a real smurf-detection model.,config/stress_grid_config.yaml
New-player initialization,New players start near population mean with high uncertainty and placement-like behavior.,"new_player_ratio, placement_matches",Cold-start convergence and early unfair exposure.,No real onboarding or tutorial behavior.,config/simulation_config.yaml
Candidate pool generation,Policies select candidates from configured queue windows and candidate-pool sizes.,candidate_pool_size,Search breadth and opportunity for role/fairness trade-offs.,No regional server or party-queue infrastructure.,src/matchmaking_sim/matchmaking.py
Team formation,5v5 teams are built from candidate sets with role and MMR-balance objectives.,"team_size, role_penalty",Expected win-probability deviation and role coverage.,"Simplifies synergy, communication, and party interactions.",src/matchmaking_sim/team_builder.py
Waiting-time proxy,Waiting pressure is a bounded proxy derived from queue/wait settings.,"max_wait, waiting_weight",Latency-facing diagnostic in policy comparison.,Not calibrated to real seconds or a full queueing model.,config/matchmaking_config.yaml
Visible-rank smoothing,Visible rank points move more slowly than hidden MMR.,visible_smoothing,Rank--MMR divergence and hysteresis area.,Does not reproduce any commercial rank formula.,src/matchmaking_sim/rank_presentation.py
Seasonal reset,Selected scenarios compress ratings toward the center and increase uncertainty.,reset_compression,Early-season instability and recovery.,No live-service placement rules.,src/matchmaking_sim/disturbances.py
Skill drift,"Latent skill can improve, decline, or fluctuate by behavior type.",drift_intensity,Stale-rating error and adaptation pressure.,No real learning or fatigue model.,src/matchmaking_sim/skill_model.py
Fairness debt components,Equal-weight diagnostic index over normalized exposure channels.,component_weights,Longitudinal and subgroup exposure accounting.,Not a psychological scale or absolute risk metric.,manuscript/fairness_debt_formal_definition.tex
Rank--MMR hysteresis calculation,Area-style separation between aligned hidden MMR and visible rank over time.,"horizon, scaling",Presentation-layer lag beyond final divergence.,Hysteresis is not automatically harmful.,manuscript/rank_mmr_hysteresis_formal_definition.tex
